Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300 K	T=360 K	T=420 K 	T=480 K	T=540 K	T=600 K
-20	1.15644250490945E-4	1.85242749290858E-4	3.00740693868645E-4	3.77648265328388E-4	4.86608684267947E-4	5.83443835915339E-4
-21	1.09092377045603E-4	1.73140074187214E-4	3.0236818677722E-4	3.80570080733144E-4	4.87213397337988E-4	5.84259589788348E-4
-22	8.68054942177613E-5	1.64892882391447E-4	3.04653763910103E-4	3.82778904647611E-4	4.88472878027493E-4	5.86955378572987E-4
-23	6.39524411957233E-5	1.57299594152302E-4	3.03240148374427E-4	3.84767636919049E-4	4.88800261837225E-4	5.85322408902466E-4
-24	5.87041479380319E-5	1.50611337551822E-4	3.04772725289112E-4	3.87566886319005E-4	4.94168274056295E-4	5.87010931704124E-4
-25	3.80850168012219E-5	1.29674291948505E-4	3.07601221907048E-4	3.91101531747764E-4	4.92630111280821E-4	5.78868012219071E-4
-26	1.94112707833297E-5	1.12399348898102E-4	3.10146236089897E-4	3.9331035566223E-4	4.89783766092079E-4	5.68657931485926E-4
-27	7.88850796421558E-6	1.10105712415448E-4	3.07129173030766E-4	3.93016460833515E-4	4.85449312677286E-4	5.65662448178049E-4
-28	1.32971376827406E-5	8.20621060440759E-5	3.06115470216016E-4	3.95740589133755E-4	4.79502291075715E-4	5.54252127427449E-4
-29	9.60943351516474E-6	5.55781627754746E-5	3.06210386209906E-4	3.96796238271874E-4	4.65240802967489E-4	5.28573423521711E-4
-30	-4.16874798167139E-7	5.8730487453633E-5	3.04513288239145E-4	3.97484189395592E-4	4.44376172812568E-4	4.99900698232599E-4
-31	3.57014322496182E-6	4.67992345625136E-5	2.97559109753437E-4	3.97704281038621E-4	4.14440846607026E-4	4.66460637137246E-4
-32	1.93471132445996E-6	2.39192825660048E-5	2.8926092079424E-4	3.96378459524329E-4	3.66006982325987E-4	4.16654331224089E-4
-33	-1.25702867117609E-5	1.58632878027493E-5	2.81128518437705E-4	3.95127759109754E-4	3.088825660048E-4	3.69383002400175E-4
-34	-4.97039585424394E-6	2.14561649574514E-5	2.72430416757582E-4	3.91788164957451E-4	2.53194850534584E-4	3.40518765001091E-4
-35	8.88258254418503E-6	4.12402051058259E-6	2.57179314859263E-4	3.81600689504691E-4	1.93725987344534E-4	2.90632053240236E-4
-36	-7.02270255291294E-6	-1.33324747981671E-6	2.31225485489854E-4	3.71266925594589E-4	1.28991114990181E-4	2.48452607462361E-4
-37	-2.68294431595025E-6	9.95412271437923E-6	1.97658127863845E-4	3.52585494217761E-4	1.00541732489636E-4	2.31406567750382E-4
-38	4.32905001090988E-6	1.16150620117827E-5	1.60294130482217E-4	3.0496267073969E-4	7.79893170412394E-5	2.00144774165394E-4
-39	2.11642980580406E-6	-1.31629936722671E-5	1.13432332533275E-4	2.36693406065896E-4	3.33123849007201E-5	1.6063334060659E-4
-40	-8.4977750381846E-6	-5.55894453414794E-6	8.19388260964434E-5	1.75813685358935E-4	3.47991403011128E-5	1.46037778747545E-4
-41	2.22331695396029E-6	1.07450184595243E-5	6.14071045166921E-5	1.05631073096225E-4	3.87552083787912E-5	1.44649096661575E-4
-42	-1.15441104080297E-6	-6.81310486580842E-6	3.09746323368972E-5	5.40798114771983E-5	1.36827492908575E-5	1.3070701505564E-4
-43	-1.10204173248964E-5	-2.96025415666594E-6	1.01834230853153E-5	1.66436727034693E-5	8.5926886319005E-6	1.16873993017674E-4
-44	-3.92287196159721E-6	9.59257106698669E-6	1.10791896137901E-5	2.55792616190268E-5	2.22250316386646E-5	1.10855688413703E-4
-45	6.73409692341261E-6	-2.26015273838097E-8	1.13149103207506E-5	1.24213660920794E-5	1.3808832642374E-5	1.04129666157539E-4
-46	-2.05229522147065E-6	6.77924503600262E-8	-4.52597425267292E-6	-7.80633427885665E-6	9.85260222561641E-6	8.14739297403448E-5
