Thickness	-Seebeck	Independent Variable	Polynomial Fit of -Seebeck	Thickness	Conductivity	Independent Variable	Polynomial Fit of Conductivity	Thickness	Power factor	Independent Variable	Polynomial Fit of Power factor	
Layer	\g(m)V/K	Layer	\g(m)V/K	Layer	S/m	Layer	S/m	Layer	mW/mK^2	Layer	mW/mK^2	
Thickness	-Seebeck	Thickness	Fitted Curves Plot of -Seebeck	Thickness	Conductivity	Thickness	Fitted Curves Plot of Conductivity	Thickness	Power factor	Thickness	Fitted Curves Plot of Conductivity	
		1.93693693693694	1.77087336838452E-4			2.2972972972973	108.887819274758			1.93693693693694	8.51847825948574E-6	
		1.98198198198198	1.77889862872154E-4			2.34234234234234	106.793822750244			1.98198198198198	8.51121689668559E-6	
		2.02702702702703	1.78693573462449E-4			2.38738738738739	104.778844962503			2.02702702702703	8.50384398358453E-6	
		2.07207207207207	1.79498451851886E-4			2.43243243243243	102.838495981716			2.07207207207207	8.49635982088615E-6	
		2.11711711711712	1.80304481159229E-4			2.47747747747748	100.968705145685			2.11711711711712	8.48876471365039E-6	
		2.16216216216216	1.81111644379831E-4			2.52252252252252	99.1656925537976			2.16216216216216	8.48105897127268E-6	
		2.20720720720721	1.81919924386017E-4			2.56756756756757	97.4259435616257			2.20720720720721	8.47324290746302E-6	
		2.25225225225225	1.82729303927473E-4			2.61261261261261	95.7461859140114			2.25225225225225	8.46531684022466E-6	
		2.2972972972973	1.8353976563165E-4			2.65765765765766	94.1233692036045			2.2972972972973	8.4572810918326E-6	
		2.34234234234234	1.84351292004174E-4			2.7027027027027	92.5546463835444			2.34234234234234	8.44913598881163E-6	
		2.38738738738739	1.85163865429268E-4			2.74774774774775	91.0373570985683			2.38738738738739	8.44088186191435E-6	
		2.43243243243243	1.85977468170188E-4			2.79279279279279	89.5690126292365			2.43243243243243	8.43251904609876E-6	
		2.47747747747748	1.86792082369659E-4			2.83783783783784	88.1472822700423			2.47747747747748	8.42404788050552E-6	
		2.52252252252252	1.87607690050335E-4			2.88288288288288	86.7699809845729			2.52252252252252	8.4154687084352E-6	
		2.56756756756757	1.88424273115257E-4			2.92792792792793	85.4350582001948			2.56756756756757	8.40678187732488E-6	
		2.61261261261261	1.89241813348328E-4			2.97297297297297	84.140587621404			2.61261261261261	8.39798773872493E-6	
		2.65765765765766	1.90060292414798E-4			3.01801801801802	82.8847579554129			2.65765765765766	8.38908664827515E-6	
		2.7027027027027	1.90879691861755E-4			3.06306306306306	81.6658644560686			2.7027027027027	8.38007896568089E-6	
		2.74774774774775	1.91699993118629E-4			3.10810810810811	80.4823012030821			2.74774774774775	8.37096505468876E-6	
		2.79279279279279	1.92521177497713E-4			3.15315315315315	79.3325540430381			2.79279279279279	8.36174528306225E-6	
		2.83783783783784	1.93343226194677E-4			3.1981981981982	78.2151941269389			2.83783783783784	8.35242002255688E-6	
		2.88288288288288	1.94166120289112E-4			3.24324324324324	77.128871986287			2.88288288288288	8.34298964889535E-6	
		2.92792792792793	1.94989840745069E-4			3.28828828828829	76.0723120960639			2.92792792792793	8.33345454174226E-6	
		2.97297297297297	1.95814368411619E-4			3.33333333333333	75.0443078785495			2.97297297297297	8.32381508467864E-6	
		3.01801801801802	1.96639684023416E-4			3.37837837837838	74.0437171068355			3.01801801801802	8.31407166517628E-6	
		3.06306306306306	1.97465768201274E-4			3.42342342342342	73.0694576712193			3.06306306306306	8.3042246745717E-6	
		3.10810810810811	1.98292601452752E-4			3.46846846846847	72.1205036754891			3.10810810810811	8.2942745080401E-6	
		3.15315315315315	1.99120164172751E-4			3.51351351351351	71.1958818334957			3.15315315315315	8.28422156456883E-6	
		3.1981981981982	1.99948436644124E-4			3.55855855855856	70.2946681394008			3.1981981981982	8.27406624693075E-6	
		3.24324324324324	2.00777399038287E-4			3.6036036036036	69.4159847876583			3.24324324324324	8.26380896165741E-6	
		3.28828828828829	2.01607031415851E-4			3.64864864864865	68.558997321144			3.28828828828829	8.25345011901193E-6	
		3.33333333333333	2.02437313727257E-4			3.69369369369369	67.7229119879593			3.33333333333333	8.24299013296153E-6	
		3.37837837837838	2.03268225813425E-4			3.73873873873874	66.9069732893092			3.37837837837838	8.23242942115026E-6	
		3.42342342342342	2.04099747406411E-4			3.78378378378378	66.1104617025317			3.42342342342342	8.22176840487091E-6	
		3.46846846846847	2.04931858130074E-4			3.82882882882883	65.3326915648549			3.46846846846847	8.21100750903722E-6	
		3.51351351351351	2.05764537500757E-4			3.87387387387387	64.5730091047984			3.51351351351351	8.20014716215564E-6	
		3.55855855855856	2.06597764927974E-4			3.91891891891892	63.830790609341			3.55855855855856	8.18918779629684E-6	
		3.6036036036036	2.07431519715107E-4			3.96396396396396	63.105440716053			3.6036036036036	8.17812984706714E-6	
		3.64864864864865	2.08265781060118E-4			4	62.5369232321246			3.64864864864865	8.16697375357972E-6	
		3.69369369369369	2.09100528056263E-4			4.00900900900901	62.396390820367			3.69369369369369	8.15571995842547E-6	
		3.73873873873874	2.09935739692826E-4			4.05405405405405	61.7030975890296			3.73873873873874	8.14436890764386E-6	
		3.78378378378378	2.10771394855854E-4			4.0990990990991	61.0250415715677			3.78378378378378	8.1329210506934E-6	
		3.82882882882883	2.1160747232891E-4			4.14414414414414	60.3617259023116			3.82882882882883	8.12137684042212E-6	
		3.87387387387387	2.12443950793826E-4			4.18918918918919	59.7126750861577			3.87387387387387	8.10973673303767E-6	
		3.91891891891892	2.13280808831479E-4			4.23423423423423	59.0774338618369			3.91891891891892	8.09800118807727E-6	
		3.96396396396396	2.14118024922564E-4			4.27927927927928	58.4555661369754			3.96396396396396	8.08617066837764E-6	
		4.00900900900901	2.14955577448387E-4			4.32432432432432	57.8466539897152			4.00900900900901	8.07424564004449E-6	
