Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300K	T=260K	T=220K	T=180K	T=140K	T=100K
-25	9.2917570709688E-5	7.69734020428758E-5	6.91689112617282E-5	2.8427125381846E-5	2.32029691250273E-6	-8.37222991217543E-7
-26	6.17335363026402E-5	4.97670739690159E-5	5.61956474675431E-5	2.20172190704779E-5	1.04149406775038E-6	-4.11038118113136E-6
-27	2.77484470461488E-5	3.61244084797076E-5	4.08300804263037E-5	8.35386039439232E-6	5.58100057276893E-6	2.35181266023893E-6
-28	1.14715354298494E-5	2.15959328292058E-5	2.10769657736472E-5	5.00682699650884E-6	-1.09861417193978E-7	1.41781170732872E-6
-29	1.16760294498691E-5	5.88621842952215E-6	1.34366726045985E-5	5.43781850043639E-6	-2.72018246781584E-6	-3.13013361198996E-6
-30	1.34959466370281E-6	3.24823481480471E-6	1.0477019095707E-5	1.18293370881519E-6	2.6762530002182E-6	7.90944753368427E-7
-31	-4.53954219397774E-6	6.20119957587825E-6	3.70666130264019E-6	-2.24664998363517E-6	2.23679317586734E-6	3.68125323887192E-6
-32	3.3944195941523E-6	-1.47647445382391E-6	-3.82012120199651E-6	3.19116851680122E-6	-3.37497217979489E-6	-1.70389700216834E-6
-33	5.35749082887846E-6	-4.29160160511674E-6	2.25047329635337E-6	1.9348709906175E-6	-5.18549380864063E-7	-5.63759239308313E-7
-34	-4.2328148865372E-6	3.72071974552695E-6	3.65937365331115E-6	-4.04396997054331E-6	2.48288784638883E-6	4.18191379827624E-6
-35	9.40625835288021E-7	2.77577630645865E-6	-4.08488634968907E-6	-2.09992973352607E-6	-2.27635093006764E-6	9.46608943718634E-7
-36	5.09162939122845E-6	-2.97262300894611E-6	-3.30952627236526E-7	1.98989139210124E-6	-1.50291626663757E-6	-3.8874036009437E-6
-37	-2.53559411138992E-6	3.34668458842461E-6	5.46544203783002E-6	-1.22878486389919E-6	2.35105697687105E-6	3.78646287911848E-8
-38	-3.41486625163648E-6	4.96093323832642E-6	-6.90272767564914E-7	-3.76886796312459E-6	-1.04149406775038E-6	5.30100285702597E-7
-39	4.47817477634737E-6	-4.66563676221907E-6	-4.39693914671067E-6	2.58594902356535E-6	-4.29779770346934E-6	-3.07962937077242E-6
-40	8.58830971797949E-7	-2.51985445532402E-6	2.48687600745963E-6	2.19162958215143E-6	8.12980621317914E-7	6.22659020087825E-7
