Temperature	-Seebeck	Independent Variable	Linear Fit of High Temperature	Independent Variable	Linear Fit of Low Temperature
K	\g(m)V/K	K	\g(m)V/K	K	\g(m)V/K
Temperature	-Seebeck	Temperature	Fit Curve of High Temperature	Temperature	Fit Curve of  Low Temperature
		123.273273273273	-2.95915799411467E-6	123.273273273273	6.54354292491901E-5
		123.873873873874	-2.24583640296751E-6	123.873873873874	6.58679049903276E-5
		124.474474474474	-1.53251481182031E-6	124.474474474474	6.62999189749556E-5
		125.075075075075	-8.19193220673152E-7	125.075075075075	6.67314712030739E-5
		125.675675675676	-1.05871629525988E-7	125.675675675676	6.71625616746827E-5
		126.276276276276	6.07449961621202E-7	126.276276276276	6.75931903897819E-5
		126.876876876877	1.32077155276837E-6	126.876876876877	6.80233573483714E-5
		127.477477477477	2.03409314391556E-6	127.477477477477	6.84530625504513E-5
		128.078078078078	2.74741473506272E-6	128.078078078078	6.88823059960217E-5
		128.678678678679	3.46073632620991E-6	128.678678678679	6.93110876850824E-5
		129.279279279279	4.17405791735707E-6	129.279279279279	6.97394076176336E-5
		129.87987987988	4.88737950850424E-6	129.87987987988	7.01672657936751E-5
		130.48048048048	5.60070109965143E-6	130.48048048048	7.0594662213207E-5
		131.081081081081	6.31402269079862E-6	131.081081081081	7.10215968762294E-5
		131.681681681682	7.02734428194578E-6	131.681681681682	7.14480697827421E-5
		132.282282282282	7.74066587309294E-6	132.282282282282	7.18740809327452E-5
		132.882882882883	8.45398746424013E-6	132.882882882883	7.22996303262388E-5
		133.483483483484	9.16730905538732E-6	133.483483483484	7.27247179632227E-5
		134.084084084084	9.88063064653449E-6	134.084084084084	7.3149343843697E-5
		134.684684684685	1.05939522376816E-5	134.684684684685	7.35735079676617E-5
		135.285285285285	1.13072738288288E-5	135.285285285285	7.39972103351169E-5
		135.885885885886	1.2020595419976E-5	135.885885885886	7.44204509460624E-5
		136.486486486486	1.27339170111232E-5	136.486486486486	7.48432298004983E-5
		137.087087087087	1.34472386022704E-5	137.087087087087	7.52655468984246E-5
		137.687687687688	1.41605601934175E-5	137.687687687688	7.56874022398413E-5
		138.288288288288	1.48738817845647E-5	138.288288288288	7.61087958247484E-5
		138.888888888889	1.55872033757119E-5	138.888888888889	7.65297276531459E-5
		139.489489489489	1.6300524966859E-5	139.489489489489	7.69501977250338E-5
		140.09009009009	1.70138465580062E-5	140.09009009009	7.73702060404122E-5
		140.690690690691	1.77271681491534E-5	140.690690690691	7.77897525992809E-5
		141.291291291291	1.84404897403006E-5	141.291291291291	7.820883740164E-5
		141.891891891892	1.91538113314477E-5	141.891891891892	7.86274604474895E-5
		142.492492492492	1.98671329225949E-5	142.492492492492	7.90456217368294E-5
		143.093093093093	2.05804545137421E-5	143.093093093093	7.94633212696597E-5
		143.693693693694	2.12937761048893E-5	143.693693693694	7.98805590459804E-5
		144.294294294294	2.20070976960364E-5	144.294294294294	8.02973350657914E-5
		144.894894894895	2.27204192871836E-5	144.894894894895	8.0713649329093E-5
		145.495495495496	2.34337408783308E-5	145.495495495496	8.11295018358849E-5
		146.096096096096	2.4147062469478E-5	146.096096096096	8.15448925861671E-5
		146.696696696697	2.48603840606252E-5	146.696696696697	8.19598215799398E-5
		147.297297297297	2.55737056517723E-5	147.297297297297	8.23742888172029E-5
		147.897897897898	2.62870272429195E-5	147.897897897898	8.27882942979564E-5
		148.498498498499	2.70003488340667E-5	148.498498498499	8.32018380222003E-5
		149.099099099099	2.77136704252139E-5	149.099099099099	8.36149199899346E-5
		149.6996996997	2.84269920163611E-5	149.6996996997	8.40275402011592E-5
		150.3003003003	2.91403136075082E-5	150.3003003003	8.44396986558743E-5
		150.900900900901	2.98536351986554E-5	150.900900900901	8.48513953540798E-5
		151.501501501502	3.05669567898026E-5	151.501501501502	8.52626302957757E-5
		152.102102102102	3.12802783809498E-5	152.102102102102	8.56734034809619E-5
		152.702702702703	3.1993599972097E-5	152.702702702703	8.60837149096386E-5
		153.303303303303	3.27069215632441E-5	153.303303303303	8.64935645818057E-5
		153.903903903904	3.34202431543913E-5	153.903903903904	8.69029524974632E-5
		154.504504504505	3.41335647455384E-5	154.504504504505	8.7311878656611E-5
		155.105105105105	3.48468863366857E-5	155.105105105105	8.77203430592493E-5
		155.705705705706	3.55602079278328E-5	155.705705705706	8.8128345705378E-5
		156.306306306306	3.627352951898E-5	156.306306306306	8.8535886594997E-5
		156.906906906907	3.69868511101271E-5	156.906906906907	8.89429657281065E-5
		157.507507507508	3.77001727012743E-5	157.507507507508	8.93495831047063E-5
		158.108108108108	3.84134942924215E-5	158.108108108108	8.97557387247966E-5
		158.708708708709	3.91268158835687E-5	158.708708708709	9.01614325883773E-5
		159.309309309309	3.98401374747159E-5	159.309309309309	9.05666646954483E-5
		159.90990990991	4.0553459065863E-5	159.90990990991	9.09714350460097E-5
		160.510510510511	4.12667806570102E-5	160.510510510511	9.13757436400616E-5
		161.111111111111	4.19801022481574E-5	161.111111111111	9.17795904776038E-5
		161.711711711712	4.26934238393046E-5	161.711711711712	9.21829755586365E-5
		162.312312312312	4.34067454304518E-5	162.312312312312	9.25858988831595E-5
		162.912912912913	4.41200670215989E-5	162.912912912913	9.2988360451173E-5
		163.513513513514	4.48333886127461E-5	163.513513513514	9.33903602626768E-5
		164.114114114114	4.55467102038933E-5	164.114114114114	9.37918983176711E-5
		164.714714714715	4.62600317950405E-5	164.714714714715	9.41929746161557E-5
		165.315315315315	4.69733533861876E-5	165.315315315315	9.45935891581307E-5
		165.915915915916	4.76866749773348E-5	165.915915915916	9.49937419435962E-5
		166.516516516517	4.8399996568482E-5	166.516516516517	9.5393432972552E-5
		167.117117117117	4.91133181596292E-5	167.117117117117	9.57926622449982E-5
		167.717717717718	4.98266397507764E-5	167.717717717718	9.61914297609349E-5
		168.318318318318	5.05399613419235E-5	168.318318318318	9.65897355203619E-5
		168.918918918919	5.12532829330707E-5	168.918918918919	9.69875795232793E-5
		169.51951951952	5.19666045242179E-5	169.51951951952	9.73849617696871E-5
		170.12012012012	5.26799261153651E-5	170.12012012012	9.77818822595854E-5
		170.720720720721	5.33932477065122E-5	170.720720720721	9.8178340992974E-5
		171.321321321321	5.41065692976594E-5	171.321321321321	9.8574337969853E-5
		171.921921921922	5.48198908888066E-5	171.921921921922	9.89698731902224E-5
		172.522522522523	5.55332124799537E-5	172.522522522523	9.93649466540822E-5
		173.123123123123	5.62465340711009E-5	173.123123123123	9.97595583614324E-5
		173.723723723724	5.69598556622481E-5	173.723723723724	1.00153708312273E-4
		174.324324324324	5.76731772533953E-5	174.324324324324	1.00547396506604E-4
		174.924924924925	5.83864988445424E-5	174.924924924925	1.00940622944425E-4
		175.525525525526	5.90998204356896E-5	175.525525525526	1.01333387625737E-4
		176.126126126126	5.98131420268368E-5	176.126126126126	1.01725690550539E-4
		176.726726726727	6.0526463617984E-5	176.726726726727	1.02117531718832E-4
		177.327327327327	6.12397852091312E-5	177.327327327327	1.02508911130615E-4
		177.927927927928	6.19531068002783E-5	177.927927927928	1.02899828785888E-4
		178.528528528529	6.26664283914255E-5	178.528528528529	1.03290284684652E-4
		179.129129129129	6.33797499825727E-5	179.129129129129	1.03680278826906E-4
		179.72972972973	6.40930715737199E-5	179.72972972973	1.04069811212651E-4
		180.33033033033	6.4806393164867E-5	180.33033033033	1.04458881841886E-4
		180.930930930931	6.55197147560142E-5	180.930930930931	1.04847490714611E-4
		181.531531531532	6.62330363471614E-5	181.531531531532	1.05235637830827E-4
		182.132132132132	6.69463579383086E-5	182.132132132132	1.05623323190533E-4
		182.732732732733	6.76596795294557E-5	182.732732732733	1.0601054679373E-4
		183.333333333333	6.83730011206029E-5	183.333333333333	1.06397308640417E-4
		183.933933933934	6.90863227117501E-5	183.933933933934	1.06783608730594E-4
		184.534534534535	6.97996443028973E-5	184.534534534535	1.07169447064262E-4
		185.135135135135	7.05129658940444E-5	185.135135135135	1.0755482364142E-4
		185.735735735736	7.12262874851916E-5	185.735735735736	1.07939738462069E-4
		186.336336336336	7.19396090763388E-5	186.336336336336	1.08324191526208E-4
		186.936936936937	7.2652930667486E-5	186.936936936937	1.08708182833837E-4
		187.537537537538	7.33662522586331E-5	187.537537537538	1.09091712384957E-4
		188.138138138138	7.40795738497803E-5	188.138138138138	1.09474780179567E-4
		188.738738738739	7.47928954409275E-5	188.738738738739	1.09857386217668E-4
		189.339339339339	7.55062170320747E-5	189.339339339339	1.10239530499259E-4
